Type,ID,SedRed,Cost,Duck,Site_ID,River_x,Zone_x,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,area_m2,DA_9_SA_m2,LAND_COVER,FrmlndCls,DrainClass,HydrcRatng,Hydri,PondFCls,Slope,SurfText,Tfactor,compname,KfactorRF,KfactorWS,mean_slope,mean_D_m,total_V_m3,mean_V_m3,MUSYM,CropProdIn,NEAR_FID,NEAR_DIST,NEAR_FC,CPI_depth,SUBID,SBi,SBarea_ac,SBarea_m2,Zone_y,Headwater,River_y,ID_next,up_SBs,ReachLength_m,So_Slope,B_width_m,h_depth_m,Pwet_m,XSarea_m2,XS_ID_referenced,n,n_alternate,Ck,K_sec,X,C1,C2,C3,C1_C2_C3,K_hr
WCMO,1,4.838,6886.033,3.7060000000000004,1,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,7010.53125,63094.78125,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,clay loam,5.0,Cordova,0.26,0.26,0.1744701,0.21877729999999998,1524.002319,1532.6639400000001,86,90,8002,1064.0350449999999,GBER_CONUS_wet_poly,411.3773193,1,SB1,28590.93279,115703502.3,3,Y,LES,4,0,6425.792565,0.21752526,17.0,1.54,17.89,26.13,M85.68,0.04,0.035,28.59049008,224.75279530000003,0.499670105,0.994810896,0.9999965759999999,-0.9948074729999999,1,0.062431332
WCMO,2,18.195,19471.552,7.1979999999999995,2,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,26385.01367,237465.12300000002,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,clay loam,5.0,Cordova,0.28,0.28,0.0837906,0.5426045,14196.16113,14306.5498,114,86,8002,832.8994491000001,GBER_CONUS_wet_poly,158.49481200000002,1,SB1,28590.93279,115703502.3,3,Y,LES,4,0,6425.792565,0.21752526,17.0,1.54,17.89,26.13,M85.68,0.04,0.035,28.59049008,224.75279530000003,0.499670105,0.994810896,0.9999965759999999,-0.9948074729999999,1,0.062431332
WCMO,3,5.752000000000001,7242.451,4.037,3,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,8335.366211,75018.2959,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,clay loam,5.0,Cordova,0.28,0.28,0.1890309,0.3974112,3283.410889,3310.227295,109,87,10436,671.0262971,GBER_CONUS_wet_poly,218.9168549,1,SB1,28590.93279,115703502.3,3,Y,LES,4,0,6425.792565,0.21752526,17.0,1.54,17.89,26.13,M85.68,0.04,0.035,28.59049008,224.75279530000003,0.499670105,0.994810896,0.9999965759999999,-0.9948074729999999,1,0.062431332
WCMO,4,3.344,11303.303999999998,3.082,4,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,4844.482422,43600.3418,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,clay loam,5.0,Cordova,0.28,0.28,0.3738527,0.4529385,2274.657227,2192.706543,109,87,8002,866.4704267999999,GBER_CONUS_wet_poly,192.07905580000002,1,SB1,28590.93279,115703502.3,3,Y,LES,4,0,6425.792565,0.21752526,17.0,1.54,17.89,26.13,M85.68,0.04,0.035,28.59049008,224.75279530000003,0.499670105,0.994810896,0.9999965759999999,-0.9948074729999999,1,0.062431332
WCMO,5,4.281000000000001,6188.036999999999,3.595,5,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,6189.894043,55709.046389999996,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,clay loam,5.0,Cordova,0.28,0.28,0.6312099,0.5667426999999999,3488.867676,3505.698975,211,84,10320,587.5633646000001,GBER_CONUS_wet_poly,148.2154236,1,SB1,28590.93279,115703502.3,3,Y,LES,4,0,6425.792565,0.21752526,17.0,1.54,17.89,26.13,M85.68,0.04,0.035,28.59049008,224.75279530000003,0.499670105,0.994810896,0.9999965759999999,-0.9948074729999999,1,0.062431332
WCMO,7,2.6910000000000003,16048.75,2.762,7,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3898.287842,35084.590580000004,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.5,clay loam,5.0,Cordova,0.26,0.26,1.429093,0.23988360000000003,913.2369994999999,934.4751587000001,239,92,10436,590.8659291,GBER_CONUS_wet_poly,383.5192566,1,SB1,28590.93279,115703502.3,3,Y,LES,4,0,6425.792565,0.21752526,17.0,1.54,17.89,26.13,M85.68,0.04,0.035,28.59049008,224.75279530000003,0.499670105,0.994810896,0.9999965759999999,-0.9948074729999999,1,0.062431332
WCMO,8,5.111000000000001,7563.484,3.815,8,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,7406.232422,66656.0918,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,clay loam,5.0,Cordova,0.28,0.28,0.2050844,0.3160673,2304.130371,2339.220459,114,86,8002,658.3193503,GBER_CONUS_wet_poly,272.09396360000005,1,SB1,28590.93279,115703502.3,3,Y,LES,4,0,6425.792565,0.21752526,17.0,1.54,17.89,26.13,M85.68,0.04,0.035,28.59049008,224.75279530000003,0.499670105,0.994810896,0.9999965759999999,-0.9948074729999999,1,0.062431332
WCMO,9,8.052999999999999,8139.786,4.783,9,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,11670.83008,105037.4707,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,clay loam,5.0,Cordova,0.28,0.28,0.52891,0.4814174,5693.241699,5614.574219,109,87,5958,323.8943343,GBER_CONUS_wet_poly,180.7163696,1,SB1,28590.93279,115703502.3,3,Y,LES,4,0,6425.792565,0.21752526,17.0,1.54,17.89,26.13,M85.68,0.04,0.035,28.59049008,224.75279530000003,0.499670105,0.994810896,0.9999965759999999,-0.9948074729999999,1,0.062431332
WCMO,10,3.0410000000000004,6185.116999999999,2.9419999999999997,10,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,4405.172363000001,39646.551269999996,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.666666667,clay loam,5.0,Cordova,0.28,0.28,2.8132452999999997,0.2861296,1251.53064,1259.561523,114,86,8002,418.7268345,GBER_CONUS_wet_poly,300.5631409,1,SB1,28590.93279,115703502.3,3,Y,LES,4,0,6425.792565,0.21752526,17.0,1.54,17.89,26.13,M85.68,0.04,0.035,28.59049008,224.75279530000003,0.499670105,0.994810896,0.9999965759999999,-0.9948074729999999,1,0.062431332
WCMO,11,2.287,5891.385,2.5469999999999997,11,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3313.34668,29820.12012,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,clay loam,5.0,Cordova,0.28,0.28,1.5908993,0.40994480000000005,1328.221191,1357.330078,109,87,10436,277.80355019999996,GBER_CONUS_wet_poly,212.22367859999997,1,SB1,28590.93279,115703502.3,3,Y,LES,4,0,6425.792565,0.21752526,17.0,1.54,17.89,26.13,M85.68,0.04,0.035,28.59049008,224.75279530000003,0.499670105,0.994810896,0.9999965759999999,-0.9948074729999999,1,0.062431332
