Site_ID,SedRed,Cost,NEAR_FID,NEAR_DIST,area_m2,Cluster_size,Sedrank,bcr
12146,4.868,10978.698999999999,113,19.55793904,3255.191406,3,3.0,0.00044340408640404483
12581,11.338,6723.3809999999985,113,306.41869489999993,8979.136719,3,2.0,0.0016863539341292724
12582,19.768,9943.149,113,0.0,16441.10547,3,1.0,0.001988102561874513
15432,256.111,80733.59,168,0.0,235262.6875,1,1.0,0.0031722979245689432
17194,125.098,41998.275,384,0.0,114615.1094,1,1.0,0.002978646146776266
16464,5.048,5666.975,433,801.8526118,3475.065186,16,16.0,0.0008907750607687522
16057,5.742000000000001,11232.604,433,940.4545078,4099.6879880000015,16,15.0,0.0005111904594873994
16460,6.461,16427.306,433,805.0577252999999,4747.274902,16,14.0,0.00039330855588859187
16483,8.728,6302.719,433,0.0,6787.409668000001,16,13.0,0.0013847991636625398
16475,9.032,6355.2959999999985,433,163.0131695,7061.344238,16,12.0,0.0014211769207917305
16472,9.692,6469.401999999999,433,188.1465589,7655.858398,16,11.0,0.0014981291933937636
16471,13.533,7133.219,433,5.277040734,11114.46582,16,10.0,0.0018971799407812937
16482,16.503,7646.526,433,500.52063949999996,13788.8916,16,9.0,0.002158234994558313
16480,20.601999999999997,8355.199,433,277.503621,17481.21289,16,8.0,0.002465770115110364
16476,20.811999999999998,8391.591,433,0.0,17670.82031,16,7.0,0.0024801018066776606
16060,24.609,9048.144,433,1022.9891539999999,21091.58398,16,6.0,0.0027197843005151113
17209,28.405,9704.787,433,62.36237295,24512.81445,16,5.0,0.002926906072230127
16466,30.221,17861.835,433,265.9700598,26148.77148,16,4.0,0.0016919314280979532
16463,50.596000000000004,22671.075,433,1138.972573,44523.01172,16,3.0,0.0022317424295054383
16465,53.788000000000004,24252.087000000003,433,329.6140767,47403.0,16,2.0,0.0022178709815777915
16056,606.4209999999998,114346.462,433,1480.94835,543664.5,16,1.0,0.0053033647862231175
17212,18.738,8142.354,438,369.3914062,16372.24707,1,1.0,0.0023013000908582455
10621,34.624,5103.602,471,0.0,26590.7168,5,5.0,0.006784228080481198
9938,76.271,12958.165,471,772.5552753,67514.45313,5,4.0,0.005885941412229277
10623,90.639,20482.01,471,465.70372530000003,80664.15625,5,3.0,0.0044252981030670335
10624,105.727,23134.016,471,1134.877598,94481.60156,5,2.0,0.00457019654520858
10622,423.338,78458.24900000001,471,407.19432489999997,382731.1563,5,1.0,0.0053957105262443465
14450,7.1370000000000005,6019.053000000001,488,205.010643,5309.455566,3,3.0,0.0011857346994618588
14811,78.602,13157.069,488,362.5320713,68550.78125,3,2.0,0.00597412691230851
15454,95.963,44470.731,488,1009.367742,84201.4375,3,1.0,0.002157891220632285
18147,4.609,606.849,498,1130.064622,3161.794678,6,6.0,0.007594970083167311
18149,10.046,1565.4279999999999,498,31.09670423,8156.17041,6,5.0,0.006417414279034232
17610,10.23,6597.937,498,810.470566,8325.547852,6,4.0,0.0015504846439121805
18152,11.991,11909.294,498,0.0,9947.779297,6,3.0,0.0010068606921619368
17602,22.874000000000002,3833.2529999999997,498,797.7052982000001,19971.96289,6,2.0,0.005967255487701961
18516,33.843,15773.062,498,107.86851370000001,30078.72852,6,1.0,0.002145620171910819
15464,5.755,6225.4919999999975,504,139.9663879,4076.035889,3,3.0,0.0009244249289855328
16441,17.77,12669.136,504,85.57438829,14802.12988,3,2.0,0.0014026212995108742
15463,43.687,24669.409,504,220.43863109999998,37963.74609,3,1.0,0.0017708977138447054
18175,111.515,24652.063,507,135.58019040000002,102390.9063,3,3.0,0.004523556507218078
17190,218.518,48592.724,507,119.34211979999999,201075.2813,3,2.0,0.004496928387879634
18178,378.10900000000004,109752.92300000001,507,0.0,350507.0,3,1.0,0.0034450927562084156
13938,7.822,11100.066,516,816.0574276000001,5731.549805,2,2.0,0.000704680494692554
13939,84.602,18675.633,516,439.12253610000016,71252.59375,2,1.0,0.004530074027477409
14483,5.114,5650.991,526,358.94419460000006,3391.7841799999997,3,3.0,0.0009049740125227592
14482,11.395999999999999,6692.9630000000025,526,183.695901,8820.654297,3,2.0,0.001702683848693022
14099,527.336,140388.527,526,0.0,458152.9063,3,1.0,0.0037562613645771782
13135,6.372000000000001,5880.081,527,22.06334004,4585.386231,4,4.0,0.00108365854143846
13140,7.725,11607.372,527,171.8209736,5647.9057619999985,4,3.0,0.0006655253230446995
13069,13.152000000000001,8182.351,527,15.89146589,10584.624020000001,4,2.0,0.001607361991681853
13137,60.909,19923.582,527,178.6329446,51703.71094,4,1.0,0.003057130991806594
18131,5.0310000000000015,6063.718000000003,529,854.1687129000003,3537.966065,5,5.0,0.0008296889795996449
18137,11.338,8825.635,529,551.7607077,9344.853516,5,4.0,0.0012846667690200194
18442,22.476999999999997,26551.53100000001,529,695.5344002999999,19604.10742,5,3.0,0.0008465425214086521
18130,25.011999999999997,26014.717,529,1058.799511,21939.54883,5,2.0,0.0009614557790499892
18441,85.81299999999997,58210.648,529,900.1311355,76911.03906,5,1.0,0.001474180462653499
16442,5.438,727.928,530,357.9537581,3792.63794,8,8.0,0.007470519062324845
16453,5.4620000000000015,732.07,530,160.74410980000005,3814.219971,8,7.0,0.0074610351469121825
16450,6.471,904.825,530,487.25849360000007,4714.308106,8,6.0,0.007151659160611168
16443,7.396,1063.358,530,484.3277159,5540.291992,8,5.0,0.00695532454733025
16445,8.037,1173.19,530,606.3800091,6112.540039,8,4.0,0.0068505527663890765
16454,81.872,26282.2,530,1216.8025599999999,70785.42969,8,3.0,0.0031151121291216107
16449,592.169,564348.154,530,0.0,526821.5,8,2.0,0.0010492973101848756
16458,1347.4370000000001,1270662.553,530,43.75533844,1214686.375,8,1.0,0.0010604207992269369
14079,5.77,5762.5819999999985,574,1060.3225929999999,3973.1923829999996,6,6.0,0.001001287270185483
13083,25.058000000000003,8975.132,574,797.5744672000003,20711.17578,6,5.0,0.0027919366534107804
14070,27.726,9419.872,574,967.1021174000001,23028.35547,6,4.0,0.0029433520965040714
14760,43.483000000000004,12048.693000000001,574,545.2517740000002,36725.00391,6,3.0,0.003608939160454997
14077,53.54600000000001,13729.045,574,237.4628411,45479.94922,6,2.0,0.003900198447889129
14069,104.09,21990.449,574,698.6887326,88523.40625,6,1.0,0.004733418585495913
16067,8.899,6332.2959999999985,575,1479.305603,6941.508789,6,6.0,0.0014053354423103407
16065,10.474,6604.464,575,1687.5907730000001,8359.553711,6,5.0,0.0015858970538714422
16062,14.804,7352.975,575,2166.525517,12259.43555,6,4.0,0.002013334738660202
16061,20.034000000000002,8256.979,575,2245.105391,16969.4668,6,3.0,0.0024263111242017214
16068,24.253,8986.608,575,1531.080776,20770.9707,6,2.0,0.0026987935826287292
16070,111.538,23908.792,575,992.1300131,98518.32813,6,1.0,0.004665145775662777
18514,4.578,5938.518,579,1275.256755,3121.549072,7,7.0,0.0007708994062154902
17593,4.888999999999999,6024.651,579,1613.981497,3408.0288090000013,7,6.0,0.0008114992885065043
18515,7.232,1068.122,579,368.2017188,5565.112305,7,5.0,0.006770762141403323
